City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,yellowknife,62.456,-114.3525,247.44,76,20,1.03,CA,1702337061
83,hermanus,-34.4187,19.2345,290.0,86,70,5.78,ZA,1702337064
84,gornyy,55.1153,83.9059,243.11,94,18,5.27,RU,1702337304
85,coronel suarez,-37.4547,-61.9334,301.36,29,24,6.81,AR,1702337114
86,kangding,30.0513,101.9603,275.61,83,43,0.8,CN,1702337305
87,kilindoni,-7.9139,39.6668,300.58,73,91,2.35,TZ,1702337306
88,khandyga,62.6667,135.6,239.42,99,100,0.21,RU,1702337306
89,invercargill,-46.4,168.35,284.29,53,64,8.94,NZ,1702337049
90,purpe,64.4803,76.6897,246.92,87,100,5.26,RU,1702337307
91,salinopolis,-0.6136,-47.3561,300.6,79,44,6.19,BR,1702337308
92,vila franca do campo,37.7167,-25.4333,286.38,82,100,2.49,PT,1702337130
93,punta arenas,-53.15,-70.9167,285.21,47,75,6.69,CL,1702337061
94,albany,42.6001,-73.9662,275.1,72,16,2.68,US,1702336786
95,kalmunai,7.4167,81.8167,297.86,91,98,2.87,LK,1702337309
96,touros,-5.1989,-35.4608,299.79,75,0,6.46,BR,1702337099
97,puerto natales,-51.7236,-72.4875,283.84,59,67,3.56,CL,1702337255
98,kamiiso,41.8167,140.65,272.36,93,75,1.54,JP,1702337311
99,dzuunmod,48.2199,97.3744,251.75,94,100,0.19,MN,1702337311
100,kingston,17.997,-76.7936,302.68,72,20,9.26,JM,1702337135
101,hithadhoo,-0.6,73.0833,300.76,78,51,2.76,MV,1702337075
102,remire-montjoly,4.9167,-52.2667,301.17,83,20,2.06,GF,1702337098
103,ribeira grande,38.5167,-28.7,286.91,80,6,0.89,PT,1702337061
104,siwa oasis,29.2041,25.5195,287.17,78,86,1.93,EG,1702337314
105,minas de marcona,-15.2119,-75.1103,290.47,76,10,6.03,PE,1702337129
106,al lagowa,11.4,29.1333,298.94,16,76,3.57,SD,1702337122
107,spring creek,40.7266,-115.5859,279.98,50,5,1.74,US,1702337315
108,xining,36.6167,101.7667,268.68,48,1,1.33,CN,1702337316
109,wailua homesteads,22.0669,-159.378,301.39,83,20,4.12,US,1702337061
110,yuzhno-kurilsk,44.0306,145.8556,273.91,76,100,4.36,RU,1702337317
111,whangarei,-35.7317,174.3239,290.59,57,80,5.51,NZ,1702337317
112,novyy urengoy,66.0833,76.6333,248.11,88,100,5.03,RU,1702337317
113,winburg,-28.518,27.0093,284.84,89,31,3.45,ZA,1702337318
114,kitimat,54.0524,-128.6534,274.09,65,82,0.16,CA,1702337318
115,kettering,39.6895,-84.1688,274.38,79,0,2.06,US,1702337319
116,kratie,12.4881,106.0188,292.45,93,40,1.72,KH,1702337320
117,afaahiti,-17.75,-149.2833,303.08,79,96,10.1,PF,1702337112
118,xilin hot,43.9667,116.0333,254.95,97,98,0.84,CN,1702337321
119,saint-joseph,-21.3667,55.6167,296.36,81,37,4.93,RE,1702337321
120,chaman,30.9236,66.4512,280.74,37,2,2.07,PK,1702337322
121,qaqortoq,60.7167,-46.0333,272.05,96,100,4.76,GL,1702337070
122,santa maria huatulco,15.8436,-96.3267,300.52,74,75,4.12,MX,1702337323
123,uturoa,-16.7333,-151.4333,300.11,76,83,9.08,PF,1702337064
124,howard springs,-12.497,131.047,304.75,87,90,1.13,AU,1702337325
125,severo-yeniseyskiy,60.3725,93.0408,232.91,100,72,0.45,RU,1702337325
126,naze,28.3667,129.4833,292.66,84,95,5.73,JP,1702337137
127,rongelap,11.1635,166.8941,300.8,77,73,9.01,MH,1702337327
128,teknaf,20.8624,92.3058,291.24,81,1,2.61,BD,1702337327
129,thai binh,20.45,106.3333,297.32,85,100,2.43,VN,1702337328
130,hovd,48.0056,91.6419,256.0,80,100,0.7,MN,1702337328
131,high point,35.9557,-80.0053,277.49,75,0,2.06,US,1702337285
132,la'ie,21.6477,-157.9253,302.13,73,18,2.68,US,1702337130
133,st. john's,47.5649,-52.7093,285.81,95,75,10.8,CA,1702337054
134,port-gentil,-0.7193,8.7815,300.13,89,75,2.06,GA,1702337121
135,prince rupert,54.3161,-130.3201,277.98,79,0,8.75,CA,1702337060
136,tulagi,-9.0996,160.1476,300.0,73,99,1.82,SB,1702337331
137,freetown,8.484,-13.2299,300.99,78,40,2.57,SL,1702337130
138,aioun,16.6614,-9.6149,295.21,14,2,4.9,MR,1702337332
139,ta`u,-14.2336,-169.5144,299.54,89,91,8.21,AS,1702337332
140,ajodhya,26.8,82.2,286.2,38,0,1.6,IN,1702337333
141,kapuskasing,49.4169,-82.4331,265.2,79,100,4.63,CA,1702337064
142,fisterra,42.9049,-9.2629,290.79,94,100,9.25,ES,1702337334
143,valparaiso,-33.0393,-71.6273,292.86,64,0,6.69,CL,1702337334
144,sisimiut,66.9395,-53.6735,272.18,92,100,8.53,GL,1702337122
145,alice springs,-23.7,133.8833,292.9,42,0,3.6,AU,1702337141
146,bilibino,68.0546,166.4372,252.88,95,100,1.61,RU,1702337062
147,bereznik,62.8551,42.7072,262.36,94,100,4.34,RU,1702337336
